calendar_quarter,formation_date,next_formation_date,side,ticker,cik,filed_date,report_type,max_abs_shrink,leg_weight,signed_weight
2018Q1,2018-03-30,2018-06-29,long,BAX,10456,2018-02-23,10-K,0.283447265625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,AJG,354190,2018-02-12,10-K,0.28369140625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,CRL,1100682,2018-02-13,10-K,0.283935546875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,SO,92122,2018-02-21,10-K,0.2845458984375,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,LYB,1489393,2018-02-22,10-K,0.28466796875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,DG,29534,2018-03-23,10-K,0.284912109375,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,UNP,100885,2018-02-09,10-K,0.2850341796875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,CL,21665,2018-02-15,10-K,0.28515625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,POOL,945841,2018-02-28,10-K,0.285400390625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,FTV,1659166,2018-02-28,10-K,0.28857421875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,MAR,1048286,2018-02-15,10-K,0.291015625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,ROL,84839,2018-02-26,10-K,0.291259765625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,CMS,811156,2018-02-14,10-K,0.2930908203125,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,ARE,1035443,2018-01-30,10-K,0.294189453125,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,TSLA,1318605,2018-02-23,10-K,0.294677734375,0.01098901098901099,0.01098901098901099
