,value
period_label,week
periods,28
periods_per_year,52
mean_period_return,0.0005765440916820441
period_volatility,0.00978911065764197
annualized_return,0.030425324698883704
annualized_volatility,0.07059028083463827
sharpe_ratio,0.42470850679425437
