calendar_quarter,ticker,side,formation_date,next_formation_date,start_trade_date,end_trade_date,horizon_trading_days,max_abs_shrink,leg_weight,signed_weight,start_price,end_price,raw_return
2018Q1,SBAC,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.25537109375,0.01098901098901099,0.01098901098901099,154.22100830078125,149.90769958496094,-0.027968360234086664
2018Q1,HD,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.255859375,0.01098901098901099,0.01098901098901099,141.1654815673828,141.13284301757812,-0.0002312077247376143
2018Q1,PPL,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.255859375,0.01098901098901099,0.01098901098901099,19.59513282775879,19.50434875488281,-0.004632990940861337
2018Q1,VLO,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.25634765625,0.01098901098901099,0.01098901098901099,66.41388702392578,72.76078796386719,0.09556587069892353
2018Q1,XOM,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.25634765625,0.01098901098901099,0.01098901098901099,50.61634063720703,53.52666473388672,0.057497718326566805
2018Q1,KKR,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.2568359375,0.01098901098901099,0.01098901098901099,17.941654205322266,18.248348236083984,0.017093966211362055
2018Q1,HUM,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.257080078125,0.01098901098901099,0.01098901098901099,260.9877319335937,262.456787109375,0.005628828469818936
2018Q1,FANG,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.257568359375,0.01098901098901099,0.01098901098901099,93.46630096435548,89.09339904785156,-0.04678586689946762
2018Q1,OKE,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.2576904296875,0.01098901098901099,0.01098901098901099,33.49070358276367,34.97016906738281,0.04417540769076478
2018Q1,AFL,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.2586669921875,0.01098901098901099,0.01098901098901099,35.4637336730957,36.47061538696289,0.028391869935315173
2018Q1,MRK,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.259033203125,0.01098901098901099,0.01098901098901099,39.47177505493164,41.642826080322266,0.05500261952671859
2018Q1,VICI,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.259765625,0.01098901098901099,0.01098901098901099,11.692625999450684,11.6159086227417,-0.006561175967878308
2018Q1,HRL,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.26025390625,0.01098901098901099,0.01098901098901099,26.312408447265625,27.78162956237793,0.05583757633045505
2018Q1,MOS,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.260498046875,0.01098901098901099,0.01098901098901099,20.45154190063477,21.082284927368164,0.030840854435225662
2018Q1,APTV,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.2607421875,0.01098901098901099,0.01098901098901099,80.32587432861328,84.087158203125,0.04682530885532965
2018Q1,GM,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.2607421875,0.01098901098901099,0.01098901098901099,31.601560592651367,34.46479415893555,0.09060418259691883
2018Q1,DGX,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.260986328125,0.01098901098901099,0.01098901098901099,82.51331329345703,83.99720764160156,0.017983696071773192
2018Q1,ALGN,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.26220703125,0.01098901098901099,0.01098901098901099,242.69000244140625,257.0199890136719,0.05904646432942928
2018Q1,CSGP,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.263427734375,0.01098901098901099,0.01098901098901099,35.112998962402344,35.930999755859375,0.023296238362690458
2018Q1,AMT,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.263916015625,0.01098901098901099,0.01098901098901099,114.91531372070312,112.37998962402344,-0.02206254340341174
2018Q1,ETN,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.263916015625,0.01098901098901099,0.01098901098901099,66.37236022949219,65.92809295654297,-0.006693558454349047
2018Q1,IVZ,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.265380859375,0.01098901098901099,0.01098901098901099,20.88890838623047,20.72634696960449,-0.007782188213010577
2018Q1,MAA,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.266845703125,0.01098901098901099,0.01098901098901099,66.55438995361328,68.02140045166016,0.022042279991888458
2018Q1,TYL,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.266845703125,0.01098901098901099,0.01098901098901099,204.3300018310547,214.4199981689453,0.04938088507547356
2018Q1,KEYS,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.26806640625,0.01098901098901099,0.01098901098901099,51.13999938964844,53.11000061035156,0.0385217294527751
2018Q1,HSIC,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.26904296875,0.01098901098901099,0.01098901098901099,51.63137435913086,54.172550201416016,0.04921766801343641
2018Q1,CINF,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.271240234375,0.01098901098901099,0.01098901098901099,58.58547592163086,59.4273796081543,0.014370518857773629
2018Q1,WAT,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.2724609375,0.01098901098901099,0.01098901098901099,195.97999572753903,200.6300048828125,0.02372695814188175
2018Q1,STLD,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.273681640625,0.01098901098901099,0.01098901098901099,36.2451057434082,37.19269943237305,0.02614404536913728
2018Q1,WEC,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.2747802734375,0.01098901098901099,0.01098901098901099,47.80507659912109,47.78204727172852,-0.00048173392934147685
2018Q1,FSLR,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.275390625,0.01098901098901099,0.01098901098901099,69.38999938964844,71.25,0.026805024163597757
2018Q1,PCAR,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.2763671875,0.01098901098901099,0.01098901098901099,31.46529006958008,32.74522018432617,0.04067752472377473
2018Q1,STZ,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.27685546875,0.01098901098901099,0.01098901098901099,198.6860809326172,196.32614135742188,-0.011877729753981492
2018Q1,VMC,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.277099609375,0.01098901098901099,0.01098901098901099,104.42864990234376,106.99655151367188,0.024590010631464487
2018Q1,MA,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.27734375,0.01098901098901099,0.01098901098901099,163.5623016357422,164.52061462402344,0.00585900894458824
2018Q1,AMAT,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.277587890625,0.01098901098901099,0.01098901098901099,48.2652702331543,50.145137786865234,0.038948659038474
2018Q1,BX,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.27880859375,0.01098901098901099,0.01098901098901099,22.874216079711918,22.51805686950684,-0.015570335130346669
2018Q1,RJF,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.2796630859375,0.01098901098901099,0.01098901098901099,50.738555908203125,50.43293762207031,-0.006023393466020988
2018Q1,CMI,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.280029296875,0.01098901098901099,0.01098901098901099,128.7366943359375,128.84207153320312,0.0008185482609226469
2018Q1,D,long,2018-03-30,2018-06-29,2018-04-02,2018-04-11,7,0.28125,0.01098901098901099,0.01098901098901099,46.576786041259766,45.04249572753906,-0.032941094569332474
